country,year,population,diagnosis,gender,age,count
Argentina,2000,36903067,sp,m,014,97
Argentina,2000,36903067,sp,m,1524,278
Argentina,2000,36903067,sp,m,2534,594
Argentina,2000,36903067,sp,m,3544,402
Argentina,2000,36903067,sp,m,4554,419
Argentina,2000,36903067,sp,m,5564,368
Argentina,2000,36903067,sp,m,65,330
Argentina,2000,36903067,sp,f,014,121
Argentina,2000,36903067,sp,f,1524,544
Argentina,2000,36903067,sp,f,2534,479
Argentina,2000,36903067,sp,f,3544,262
Argentina,2000,36903067,sp,f,4554,230
Argentina,2000,36903067,sp,f,5564,179
Argentina,2000,36903067,sp,f,65,216
Argentina,2001,37273361,sp,m,014,78
Argentina,2001,37273361,sp,m,1524,682
Argentina,2001,37273361,sp,m,2534,611
Argentina,2001,37273361,sp,m,3544,495
Argentina,2001,37273361,sp,m,4554,471
Argentina,2001,37273361,sp,m,5564,404
Argentina,2001,37273361,sp,m,65,436
Argentina,2001,37273361,sp,f,014,85
Argentina,2001,37273361,sp,f,1524,674
Argentina,2001,37273361,sp,f,2534,561
Argentina,2001,37273361,sp,f,3544,303
Argentina,2001,37273361,sp,f,4554,242
Argentina,2001,37273361,sp,f,5564,215
Argentina,2001,37273361,sp,f,65,249
Argentina,2002,37627545,sp,m,014,70
Argentina,2002,37627545,sp,m,1524,612
Argentina,2002,37627545,sp,m,2534,658
Argentina,2002,37627545,sp,m,3544,463
Argentina,2002,37627545,sp,m,4554,477
Argentina,2002,37627545,sp,m,5564,389
Argentina,2002,37627545,sp,m,65,399
Argentina,2002,37627545,sp,f,014,117
Argentina,2002,37627545,sp,f,1524,622
Argentina,2002,37627545,sp,f,2534,580
Argentina,2002,37627545,sp,f,3544,301
Argentina,2002,37627545,sp,f,4554,237
Argentina,2002,37627545,sp,f,5564,203
Argentina,2002,37627545,sp,f,65,255
Argentina,2003,37970411,sp,m,014,89
Argentina,2003,37970411,sp,m,1524,574
Argentina,2003,37970411,sp,m,2534,565
Argentina,2003,37970411,sp,m,3544,413
Argentina,2003,37970411,sp,m,4554,461
Argentina,2003,37970411,sp,m,5564,366
Argentina,2003,37970411,sp,m,65,405
Argentina,2003,37970411,sp,f,014,99
Argentina,2003,37970411,sp,f,1524,516
Argentina,2003,37970411,sp,f,2534,513
Argentina,2003,37970411,sp,f,3544,294
Argentina,2003,37970411,sp,f,4554,241
Argentina,2003,37970411,sp,f,5564,192
Argentina,2003,37970411,sp,f,65,231
Argentina,2004,38308779,sp,m,014,64
Argentina,2004,38308779,sp,m,1524,588
Argentina,2004,38308779,sp,m,2534,543
Argentina,2004,38308779,sp,m,3544,399
Argentina,2004,38308779,sp,m,4554,387
Argentina,2004,38308779,sp,m,5564,332
